id,en,zh-cn
menu_home,Home,首页
menu_my_projects,My projects,我的项目
menu_initiate,Initiate,启动
menu_introduction,Introduction,介绍
menu_develop_charter,Develop project charter,制定项目章程
menu_id_stakeholders,Identify stakeholders,识别干系人
menu_id_team,Identify project members,识别团队成员
menu_kickoff,Plan and run kick-off meeting,召集项目开工会
menu_plan,Plan,计划
menu_wbs,Develop work breakdown structure,创建工作分解WBS
menu_estimate,"Estimate resources, duration and cost",估算资源，时间，成本
menu_dev_project,Develop project schedule,制定进度计划
menu_dev_risk,Develop risk management plan,制定风险管理计划
menu_dev_comms,Develop communications plan,制定沟通计划
menu_dev_quality,Develop quality plan,制定质量管理计划
menu_exec_mon_control,Execute monitor control,执行监视器控制
menu_execute,Execute management actions, 执行管理行动
menu_monitor,Monitor project plan,监控
menu_control,Control and correct project plan,控制
menu_manage_changes,Manage change requests, 管理变更请求
menu_close,Close,关
menu_acceptance,Project acceptance, 项目验收
menu_summary,Project summary,项目总结
home_my_projects,My projects,我的项目
home_my_projects_tip,See all your projects,见所有项目
home_pm_knowledge,Help,帮帮我
home_pm_knowledge_tip,Learn how to use PM APP,了解如何使用PMAPP
home_pm_collab,Project manager forum,项目经理协作
home_pm_collab_tip,"Collaborate with other Project Managers using PM APP.
Leave feedback about PM APP",留下反馈
home_feedback,Feedback,反馈
home_ready,Ready,准备区
home_ready_guide,Guide,指导
home_ready_demo,Demo,样例
home_ready_practice,Practice,练习
home_new_project,New project,新项目
home_new_project_tip,Create a new project,创建一个新项目
project_dialog_title,New project,新项目
project_dialog_placeholder,Enter project name here,输入项目名称
project_dialog_practice,Practice project,练习项目
project_dialog_create,Create,建立
dashboard_started,Updated,入门
dashboard_tasks,Tasks,任务
dashboard_deliverables,Deliverables,交付
dashboard_budget,Budget,预算
dashboard_riskmanagement,Risk Management,风险管理
dashboard_changemanagement,Change Management,更换管理层
dash_trafficlight_title,Project Health,项目健康
dashboard_pie_done,Done,做
dashboard_pie_complete,Complete,完成
dashboard_pie_identified,Identified,确定
dashboard_pie_assigned,Assigned,分配
dashboard_pie_open,Open,打开
dashboard_pie_progress,Progress,
dashboard_pie_scheduled,Scheduled,计划
dashboard_pie_spent,Spent,花费
dashboard_pie_perday,/day,每天
dashboard_pie_planned,Planned,计划
dashboard_pie_actual,Actual,实际
dashboard_pie_closed,Closed,关闭
dashboard_pie_moved,Moved,感动
dashboard_pie_requests,Requests,要求
dashboard_pie_accepted,Accepted,公认
dash_process_instructions,Click on any Sub-Process to jump to that work area,
dash_monitor_project_plan,Monitor Project Plan,监测项目计划
dash_process_map,Process Map,过程图
dash_failure_risk,Failure risk,
dash_action_urgent,Urgent,
dash_action_required,Required,
dash_action_none,None,
dash_action,Action,
role_core_member,Core Member,核心成员
